drop
0.8095
0.4185
0.8395
0.94
0.9255
0.922
0.888
0.8275
0.733
0.7965
0.666
0.646
0.6065
0.626
0.6435
0.656
0.624
0.5875
0.5435
0.589
0.559
0.5265
0.587
0.5645
0.4385
0.4715
0.4515
0.458
0.5315
0.5165
0.4965
0.4645
0.494
0.463
0.4655
0.504
0.517
0.483
0.48
0.5235
0.54
0.48
0.485
0.492
0.474
0.364
0.3865
0.3645
0.3625
0.4175
0.426
0.3995
0.3915
0.3815
0.396
0.4765
0.457
0.453
0.3855
0.4185
0.4345
0.4195
0.3465
0.4775
0.405
0.406
0.482
0.3725
0.482
0.441
0.4125
0.4515
0.4375
0.463
0.4085
0.3955
0.5055
0.4705
0.444
0.382
0.398
0.434
0.3145
0.3645
0.361
0.386
0.412
0.468
0.492
0.388
0.4145
0.44
0.418
0.455
0.394
0.4895
0.443
0.4705
0.3825
0.4375
0.423
0.4085
0.3865
0.4665
0.4165
0.451
0.42
0.4625
0.506
0.4435
0.454
0.3905
0.453
0.4885
0.4025
0.425
0.503
0.481
0.416
0.423
0.4245
0.399
0.3835
0.378
0.3765
0.364
0.3475
0.377
0.376
0.3935
0.3935
0.374
0.388
0.3845
0.3905
0.325
0.3655
0.269
0.2745
0.264
0.281
0.276
0.2555
0.284
0.286
0.3175
0.3065
0.3135
0.233
0.234
0.257
0.2485
