server,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,cloud
-2.8418326377542047,-2.4767139595216503,-3.525999747293609,-1.9392890729835046,-3.4823816961597616,-5.217168834038092,-2.5283493001136965,-3.3101480160131183,-2.0701004703314316,-3.669517777446035,-3.576265723113543,-2.3416999379396897,-1.7132320940137096,-2.189621648600194,-2.9761275179632913,-1.6648270632139528,-0.6197493281272215
-0.014438094098729277,-0.22508154725564566,-0.1104325811482755,-0.30996196287665007,-0.13508952934195678,-0.014351781568694679,-0.14694237633845358,-0.013662721925623416,-0.005189192304010674,-0.10655666535693148,-0.023014911319752793,-0.14280378826639295,-0.1169511595649193,-0.018741405341356637,-0.04478486122400762,-0.1691233914697812,-0.498583863014882
-0.31818025509187403,-0.5236430531841484,-0.2885909424315516,-0.39933458704900776,-0.4319212269223987,-0.23728288398204192,-0.21743294500041765,-0.3090586207627159,-0.21375544651200387,-0.38965801210749446,-0.2001941357681207,-0.3861694669573819,-0.42569352994348214,-0.28108017586437756,-0.31370026895778,-0.34695670374145393,-0.5298778550772383
-0.4283231092101233,-0.3420379180789243,-0.398961752935032,-0.5237684897347756,-0.22443330926186034,-0.5614468892851765,-0.4197245991692637,-0.2280007677262771,-0.3007042827041449,-0.39419738877621596,-0.3682339360000667,-0.46566041624531435,-0.469591747106318,-0.36157717540133183,-0.3810636515214387,-0.31454184032818416,-0.44651896064996793
-0.3933015864485978,-0.4147406677964349,-0.3192404279756916,-0.41758048509085915,-0.25661270709507406,-0.37311284051851656,-0.39666734431467143,-0.1380311223839933,-0.32250288561421453,-0.4211104571258428,-0.29221688252831096,-0.32259117016447253,-0.396096413124086,-0.28574114621307783,-0.287398137767348,-0.29823911246263296,-0.46772630999292486
-0.4042937624839429,-0.5058949480019893,-0.32208343616156226,-0.5016720717111325,-0.32329652385817353,-0.2860185206358347,-0.3329516163741424,-0.24046602743224077,-0.3110846855658527,-0.4700444180053411,-0.2832776744495196,-0.36690194122341296,-0.5325871546203572,-0.3043037770151271,-0.45001329961370495,-0.24014730842253085,-0.46961974784269694
-0.38144504242021066,-0.3834816006138027,-0.33957264587702035,-0.4721232784238726,-0.186306480980965,-0.24732587362207656,-0.20986050496105627,-0.19762919997534106,-0.20578776809638327,-0.46291569614072786,-0.17329461736262802,-0.37225786614787815,-0.43740665927456407,-0.2833264410314512,-0.3670300721214392,-0.27141232475596644,-0.4774085913278756
-0.23890250320050518,-0.3427696054420303,-0.2623236482563613,-0.38983773442974085,-0.23518666101715388,-0.2945896131736847,-0.2530661236229335,-0.20564056761292282,-0.1617209079420572,-0.262968442121354,-0.16135045196366327,-0.30102895189122647,-0.3614686677943816,-0.20692152546358494,-0.3297088560593891,-0.28418208313853877,-0.48567387779287086
-0.2479713312600547,-0.38054802672262356,-0.2512932673130131,-0.3325436553003833,-0.18994717331906943,-0.20520922272489092,-0.10419445507121022,-0.11275370492028762,-0.1591348048149564,-0.23879566948240036,-0.16525642157158224,-0.25581716754113504,-0.367443226587536,-0.13000244607291872,-0.2741335394097869,-0.2099610008418934,-0.47351872840412707
-0.30063935286715776,-0.46206091722461123,-0.2740342390701614,-0.35634447645228257,-0.18275846320897224,-0.31611538870576245,-0.1074817945030212,-0.11320326200730131,-0.14172893060551936,-0.39940359373089,-0.11948865634222115,-0.364339432935819,-0.3706891327591905,-0.15400016529341598,-0.27628311355807716,-0.14574351350616294,-0.48203962965808816
-0.24458681581019043,-0.3391827944132859,-0.24129653990066063,-0.2761140862519466,-0.19052050267016418,-0.2305753902394264,-0.0814598261202394,-0.034746064389812856,-0.05058684044538886,-0.2870625435156234,-0.02391891526277292,-0.2216270896872017,-0.2945902455812025,-0.04479858454829192,-0.20721867352523426,-0.25600887839888586,-0.4936251817717733
-0.21071287538184225,-0.2912207840042003,-0.18123131959224117,-0.2566002494206855,-0.19972881415901345,-0.23018904900106585,-0.10217293411490891,-0.0578801216600186,-0.04464037480500608,-0.2310240984866931,-0.12076381717093411,-0.13478921348046244,-0.27367707349530246,-0.0822084145411612,-0.25952822089522387,-0.25304374925091444,-0.46812167114543213
-0.20262767405843357,-0.1457008146169317,-0.1691619032899907,-0.22807732840781356,-0.22675388715119188,-0.1804826534869899,-0.023044836913691167,-0.03089572071716477,-0.05061139970633858,-0.1634426691307137,-0.04093860555005985,-0.1649446741044422,-0.22053918665445313,-0.05849554633183139,-0.23913413364562042,-0.20187065854312908,-0.46262550645780626
-0.19757474081507587,-0.20078590127855991,-0.14447041999557572,-0.2704208239094568,-0.25852302580839787,-0.16567248603911158,-0.029116877755072153,-0.045892533194647214,-0.06203533170239675,-0.2684228759297316,-0.06869620551916429,-0.1336917503698675,-0.1948864160049103,-0.14647903237374105,-0.2900689993708372,-0.30151932672781107,-0.49094482221641855
-0.20613481694669716,-0.274528227134151,-0.12333243757729248,-0.2942230720499332,-0.20603437999203278,-0.11733402782911287,-0.042264917128142336,-0.09023912813956636,-0.06682569630862333,-0.20848933467955513,-0.06728957291381409,-0.22157037178472805,-0.26964436650745915,-0.024819335320280862,-0.20719139612433504,-0.24323695065585213,-0.49634692366786926
-0.23762363981931992,-0.27263355914606846,-0.24371939263336845,-0.2780600101873587,-0.23041667357416934,-0.2118910632380649,-0.06723794917752483,-0.052746056142605094,-0.02275890334254171,-0.24583844087707385,-0.040941897976105104,-0.22179035330211844,-0.20388315540819724,-7.63255956131894e-05,-0.25184725200235736,-0.26724749332433617,-0.4100521861343088
-0.2404631722342122,-0.24862390168626863,-0.14921063427685122,-0.2584968550406415,-0.27695948577066953,-0.14557033375321746,-0.10843878777319459,-0.134081463329975,-0.05477545582010762,-0.14414122162157061,-0.054864426292150804,-0.11988134368391722,-0.14393380362428343,-0.11960112161810997,-0.2323319437992656,-0.15087336161837592,-0.4760889273743517
-0.16304326590733173,-0.20309748400550717,-0.13790313579211314,-0.20201748189405297,-0.1677110600681518,-0.09937127162232652,-0.03505798573890437,-0.0034632836966647573,-0.03824461211874577,-0.09208663553162555,-0.0448744726739383,-0.0829196528785741,-0.18109569913909707,-0.10678350334696028,-0.2281731363413337,-0.18282090217512373,-0.4838860528713966
-0.15812052517057265,-0.14399985715550856,-0.1778866793939636,-0.12193089278599867,-0.1602001574123235,-0.08838197608060823,-0.038565446131405,-0.01617056359957457,-0.02235557593851287,-0.06459326822014333,-0.03915888663543976,-0.06053397547491331,-0.24513388723255364,-0.14417086918954036,-0.24294520874154513,-0.14054827738449216,-0.4224172766593081
-0.17477178262805051,-0.24059090614366793,-0.19082337969843816,-0.3118663113016773,-0.17345809078885666,-0.16593856838307255,-0.08621029289955189,-0.05933038937395594,-0.006228154676349062,-0.11476992817929688,-0.03027968428847665,-0.0772479698761024,-0.20108239228316183,-0.19910800245136737,-0.31558403341316227,-0.17153119237821599,-0.47818893859603084
-0.12065993860942177,-0.22767827621667674,-0.15492025500709117,-0.21760906885211126,-0.10351508252534744,-0.18726691794805292,-0.06026908282971549,-0.025642098243878895,-0.10623321108500978,-0.1661190355377158,-0.07124546417121651,-0.14402924990099944,-0.19380894206931787,-0.08067985069447595,-0.3069414264959968,-0.07423255482670939,-0.4435572913164337
-0.08538267164482115,-0.21485004242857547,-0.2172882713572834,-0.1379058575607451,-0.10210466272138886,-0.1307463297924334,-0.07285162239067126,-0.012044890851120529,-0.03964688614836946,-0.20026958185805396,-0.0037504852511575175,-0.17252016636652978,-0.13826831960613786,-0.07230027238274743,-0.23247937459061255,-0.101564514015399,-0.4561382039600854
-0.16631721649193942,-0.1128759883275518,-0.23709357805290424,-0.1438537953265114,-0.15101924384308335,-0.09970438513442742,-0.07936424680578039,-0.14779197892499107,-0.05865317622867386,-0.16338644776576217,-0.029368051641696646,-0.17332257327152065,-0.14577446849740094,-0.03622847880183516,-0.17719278230330943,-0.25991202475482555,-0.47102760761531526
-0.1687632604384108,-0.14137845466581578,-0.32245920943497614,-0.129437135001205,-0.15948339176109325,-0.04847679384686857,-0.03879538050444315,-0.024775675320741566,-0.0955982416739805,-0.10416651145469354,-0.0052806991116391925,-0.11857636744916439,-0.2024430908439865,-0.011962871130741291,-0.1796983157993093,-0.20157938921006838,-0.44229429011346755
-0.05794974386833907,-0.1151496553586441,-0.17930315689508466,-0.0651442072011116,-0.11659192551646762,-0.032999959828239486,-0.022421222628107047,-0.07561774095044732,-0.01896774437485185,-0.16205560564081675,-0.005852699840444706,-0.04367359286056314,-0.11446628985323701,-0.012021013698355017,-0.1253988325891185,-0.06314582103922164,-0.44685240133300846
-0.037875035572485054,-0.1773579893796646,-0.1597710656032382,-0.05105856365560659,-0.18342586051734544,-0.03330021538803912,-0.021280033552630914,-0.03115710829876439,-0.007808143032246495,-0.14086066940076292,-0.06696123367303167,-0.023915817711279645,-0.13632988742669538,-0.07961523275642075,-0.2509652257937085,-0.09211040295821528,-0.40883586806197125
-0.06010305731585249,-0.15445836106952512,-0.1882149254239046,-0.07387397248375656,-0.10596646104562152,-0.05314916523848009,-0.044646619985613666,-0.0403817404202982,-0.026565315987807578,-0.15176780105242021,-0.09614737587910181,-0.06373708551342387,-0.12086037126272986,-0.008312428265837765,-0.20937480853939697,-0.04480118391372551,-0.41765769616264614
-0.06132008716374828,-0.15812428287165303,-0.1725994716797561,-0.08795117534905798,-0.12346605562379964,-0.047121976360982185,-0.1038066956768812,-0.021406462930098624,-0.02782146937855752,-0.16948063854941792,-0.03863027573749588,-0.06238189220933544,-0.08902710794790189,-0.031900830708776265,-0.11001787599752594,-0.020317072907211513,-0.3985398446507202
-0.04349573487501323,-0.11293748575139302,-0.22405308545008443,-0.09600568477013253,-0.13244518558492488,-0.045793491365054166,-0.07363314027123792,-0.060078804355518226,-0.21579947018036522,-0.20887983183444053,-0.24660382973305217,-0.12011352325381078,-0.11524505315105268,-0.1847955156458276,-0.13092642144562638,-0.0678985202679288,-0.47370404774897645
-0.09769386044822197,-0.19179211694264203,-0.23955426126125923,-0.2047898566539288,-0.2588686191046066,-0.015072786796587596,-0.11063785503983208,-0.10763186434444569,-0.050212297976129285,-0.13885712023286095,-0.07083023578875046,-0.05621694444953239,-0.09522942467211735,-0.04976734110091111,-0.19745259042812596,-0.04097672053102727,-0.4270860295459764
-0.15833154245293699,-0.08598791506993388,-0.252840942022985,-0.16581717113416616,-0.3699577268272271,-0.1676957212645372,-0.09611316235734968,-0.15138315557006166,-0.06355368723032728,-0.13538845875422081,-0.02801609907159941,-0.0860033402734469,-0.10310222706757337,-0.0405246608395808,-0.1577509295317616,-0.03078990875208859,-0.4150056686924923
-0.06340961276550874,-0.17173345776348686,-0.10422073251839836,-0.03899258953652121,-0.2119394967838428,-0.02236914890299968,-0.06985289153675674,-0.03976533279543541,-0.07101486801366375,-0.09528229119155027,-0.11351064832351146,-0.10947905469168234,-0.10709000673559183,-0.07811678502893815,-0.13584101408637014,-0.030115254017221888,-0.4640161120468782
-0.06830414369411675,-0.22464071083619255,-0.07569719275522369,-0.07241298005993915,-0.22503254462495187,-0.14714792450001105,-0.11897947200578957,-0.05452932177324613,-0.133937102451359,-0.13248702070670418,-0.1571748390400219,-0.09444345772123762,-0.05921717994982826,-0.04403514543028174,-0.17509198470492965,-0.04310813428497083,-0.4355865340201106
-0.04794098551376546,-0.13973871750066708,-0.12791115621892582,-0.03982842654545336,-0.16665824146365332,-0.04958375684950455,-0.05204316673136241,-0.04437187062150107,-0.13168060554340635,-0.13113586733915658,-0.11426361212705413,-0.04609338330809371,-0.06997549188464662,-0.06855072609718718,-0.06217878179376866,-0.11103751795183205,-0.4142033280131157
-0.07733383539644814,-0.08508724930940248,-0.16885954116770258,-0.026277675346271328,-0.20809239407158414,-0.018291857595200686,-0.11878714955314207,-0.10269205634647892,-0.09832361081902637,-0.09066144329060441,-0.08702192589266476,-0.060596414478534574,-0.11807749916291588,-0.06127415315195316,-0.09696932215103331,-0.043084657221228895,-0.44436056087153325
-0.0840462800191895,-0.16069533393155322,-0.23237914601484658,-0.04158653125031119,-0.22855613618595796,-0.03459266003539929,-0.12343864179977815,-0.14091166668167807,-0.12393149524090148,-0.08958203005765449,-0.13845742594189828,-0.11107087974062127,-0.11398070037577047,-0.0496194648805688,-0.20566629881750925,-0.06076558699404263,-0.4111799111156709
-0.0536899138598782,-0.09303655536718206,-0.18258013745352908,-0.07417980563420058,-0.22276385875766153,-0.04024538673966487,-0.08009774947850178,-0.1858712676789692,-0.07865005349341325,-0.11391018099911471,-0.21147036691288223,-0.17697627490583673,-0.12919910944593577,-0.07623242068022953,-0.10801656764862415,-0.1124627954017008,-0.4248389727163118
