server,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,cloud
3.9831666666666674,3.607481730373277,4.619509825584178,3.0815475890703428,4.519626858720259,6.2756349066691595,3.606641776193109,4.410570162858587,3.1095160451652823,4.713933420506443,4.56878329306569,3.3820802423405474,2.7610526859002293,3.3049688451934136,4.083744359301176,2.737430830835311,1.8793345070422522
0.8123108407079643,1.3682216935946576,1.2947187560090743,1.5403890205802124,1.2460444663340005,0.9365675275023447,1.3285986398629919,0.9641401993429195,0.8257500004528807,1.1243123213247446,0.9946441277110017,1.2903683521029716,1.21649358554811,0.7090337359899218,0.9435570671911634,1.481503407981421,1.7978556910569106
1.517388761467888,1.6801745823518222,1.5578735478400494,1.6388192359698894,1.6681846649950427,1.4521858230073068,1.443379350964693,1.5790361458762248,1.4154568661853881,1.5747767505947599,1.392840670370282,1.5753456835728212,1.608761502219272,1.4760943254551695,1.550604245370111,1.6950720994207147,1.803729629629631
1.6300445205479444,1.5421344436749314,1.6579222047683302,1.7673934325541303,1.5234902989383272,1.7917086630398886,1.6527786038278056,1.4803779645482513,1.5087074502082363,1.6244261660162724,1.5743370446310339,1.7302712211502327,1.6755710044676753,1.5819754563937627,1.6466386232259296,1.682426817934886,1.7464302721088432
1.6101365740740736,1.6278533094275425,1.5890823346135223,1.6692882205747548,1.5651255195313325,1.6326453415676714,1.5522379816878262,1.364658009252495,1.5182425275069866,1.6416099027510653,1.4767051443164811,1.5707748414006344,1.6092668499026257,1.4921677322921847,1.564456005334804,1.6319384444627012,1.7566598639455786
1.6337108294930869,1.7388817251953583,1.6080262193207064,1.7579349672769569,1.6152409260401552,1.5765087618017588,1.5409020430132592,1.4613221437463761,1.475402199158493,1.6779798684018352,1.4460999122988085,1.5888116689865805,1.7448366684505823,1.5240429227887566,1.7107190713359146,1.556069441991077,1.7530641891891896
1.5896050228310519,1.6272803313714617,1.6592419479959004,1.727228268216442,1.4528054273040572,1.5471924384889981,1.4289540065217299,1.3829075382773304,1.3795330399605135,1.6500314937768628,1.336798585701127,1.5915585500015408,1.6489511510523336,1.456657980514363,1.6312595366782778,1.585352078619869,1.774991134751773
1.4439732558139549,1.5746534393150446,1.5637003957109665,1.6574402318696404,1.5124797872062745,1.572483915823276,1.4282422444657203,1.3656780213188664,1.318631469595839,1.460149816820897,1.301148160147001,1.5051057387358688,1.583385448508795,1.386567273429034,1.6030411479017943,1.5956694238427431,1.7710895953757222
1.4314727272727277,1.5862215345683401,1.5325948884628162,1.6011952408816528,1.3837169908105857,1.4079434244066082,1.2089542416880938,1.132258445597933,1.218764126205433,1.4125550227661925,1.2414871183270146,1.4791460769205829,1.6024120319190776,1.2143008122605572,1.5135329280309229,1.4607317447181207,1.7698057553956839
1.5118502304147479,1.6759658928028347,1.5991610848071627,1.6532487258108777,1.4663171923240146,1.5749669249862064,1.230858524700176,1.1889324642784953,1.2430425106411576,1.6045819352729647,1.2014643658178183,1.583243256351078,1.6160718799327305,1.2789670375046824,1.5582506679357997,1.3991563074437854,1.765317307692308
1.4425555555555578,1.5630165136311613,1.52848852716982,1.5869384094525312,1.429035798768571,1.4876685871902606,1.1090851708687912,0.8901200349571856,0.9040856721858356,1.4334239665816726,0.8661373188594172,1.4892909986946956,1.562687953788908,0.9760926518678869,1.4749099034757156,1.4891702553511645,1.7931790322580652
1.4139568181818212,1.4877846672080184,1.469978854212859,1.5613767758120352,1.4241325180837103,1.4474874579212527,1.1371550842243967,0.9168679702377112,0.9874898209344004,1.4018846114589703,1.0727006888780706,1.3369291644387145,1.505399302326225,1.0530598219252354,1.5611556487541016,1.501020128113503,1.7911292517006803
1.423571590909096,1.3483262528955036,1.4288480272806596,1.5096389187573933,1.4542428749040182,1.4118083308440437,0.8688596015223717,0.7545674871139386,0.8976420166590623,1.309716563965813,0.8684525716767267,1.3558591778869296,1.4554090437125933,0.9453203946881003,1.5270868047454949,1.3951828044806038,1.7773352941176483
1.405821428571436,1.405488944723177,1.4441424239071112,1.6053835224942161,1.5205849751980982,1.382576325717266,0.8813299641458411,0.8159426709679167,0.8274450442169838,1.462703526410554,0.9530424575739247,1.3154019570691542,1.443362780797936,0.9005792300900793,1.5937550237809373,1.5321191141123491,1.8104967741935478
1.4139389400921707,1.4907037117951472,1.3462487840212207,1.6055553023453426,1.4680227162242068,1.3602013537801252,0.8102813466306165,0.9201019164721731,0.8411524150514321,1.376859278164787,0.9687303824517379,1.4071193658758079,1.5006943878524535,0.8029798953702437,1.5138171604709842,1.4979110141595413,1.8100425531914897
1.484281250000004,1.4848379357408321,1.5437699170291643,1.567257149651826,1.516520657898103,1.4830124341640907,1.0576342791220719,0.8081307628128649,0.8550264250031434,1.4803014375104928,0.8877386992865854,1.4759714486672337,1.3922595941453544,0.7338524161352242,1.5399367340008798,1.4934004102662086,1.754678343949044
